__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778157002.409581,-5.705065848,-1.881046840,0.000000000,,,,,
1778157002.410628,-5.710545351,-1.851693274,0.000000000,,,,,
1778157002.411643,-5.716049528,-1.822315819,0.000000000,,,,,
1778157002.412778,-5.721703244,-1.792255511,0.000000000,,,,,
1778157002.413661,-5.727214731,-1.763056609,0.000000000,,,,,
1778157002.413705,,,,1778157002.413458109,0.764973612,-0.473592373,-0.799742457,-0.280389877
1778157002.414530,-5.732822110,-1.733461111,0.000000000,,,,,
1778157002.414562,,,,1778157002.414336681,0.764504747,-0.479201538,-0.800018459,-0.282085947
1778157002.415602,-5.738236664,-1.704983087,0.000000000,,,,,
1778157002.415647,,,,1778157002.415388107,0.764016786,-0.484975105,-0.800304008,-0.283801428
1778157002.416539,-5.743803656,-1.675812553,0.000000000,,,,,
1778157002.416578,,,,1778157002.416340351,0.763529833,-0.490675330,-0.800587306,-0.285464526
1778157002.417577,-5.749290910,-1.647162439,0.000000000,,,,,
1778157002.417614,,,,1778157002.417396784,0.763013753,-0.496649556,-0.800885718,-0.287176132
1778157002.418605,-5.755037202,-1.617275874,0.000000000,,,,,
1778157002.418645,,,,1778157002.418366909,0.762528612,-0.502209003,-0.801164643,-0.288738443
1778157002.419599,-5.760372013,-1.589621222,0.000000000,,,,,
1778157002.419637,,,,1778157002.419363737,0.762021093,-0.507964323,-0.801454715,-0.290326670
1778157002.420573,-5.765889998,-1.561121822,0.000000000,,,,,
1778157002.420606,,,,1778157002.420369864,0.761507791,-0.513725462,-0.801746361,-0.291886506
1778157002.421638,-5.771406454,-1.532732066,0.000000000,,,,,
1778157002.421675,,,,1778157002.421408653,0.760944496,-0.519977661,-0.802064362,-0.293546924
1778157002.422545,-5.777391919,-1.502053114,0.000000000,,,,,
1778157002.422571,,,,1778157002.422325850,0.760458024,-0.525327723,-0.802337485,-0.294937876
1778157002.423615,-5.782496948,-1.475963468,0.000000000,,,,,
1778157002.423714,,,,1778157002.423357487,0.759916271,-0.531224829,-0.802639803,-0.296443093
1778157002.424665,-5.788124518,-1.447312725,0.000000000,,,,,
1778157002.424721,,,,1778157002.424441814,0.759377910,-0.537027319,-0.802938437,-0.297893998
1778157002.425664,-5.793654199,-1.419258216,0.000000000,,,,,
1778157002.425701,,,,1778157002.425485134,0.758847800,-0.542686711,-0.803230782,-0.299280366
1778157002.426542,-5.799039875,-1.392025896,0.000000000,,,,,
1778157002.426574,,,,1778157002.426330090,0.758304611,-0.548430324,-0.803528567,-0.300659087
1778157002.427630,-5.804500996,-1.364507789,0.000000000,,,,,
1778157002.427678,,,,1778157002.427394629,0.757729674,-0.554449313,-0.803841803,-0.302074016
1778157002.428576,-5.810221470,-1.335788732,0.000000000,,,,,
1778157002.428607,,,,1778157002.428361416,0.757196160,-0.559984879,-0.804130811,-0.303346661
1778157002.429575,-5.815471572,-1.309512545,0.000000000,,,,,
1778157002.429611,,,,1778157002.429371834,0.756604885,-0.566059413,-0.804449099,-0.304714508
1778157002.430604,-5.821234224,-1.280779236,0.000000000,,,,,
1778157002.430662,,,,1778157002.430377007,0.756053141,-0.571677666,-0.804744382,-0.305950628
1778157002.431556,-5.826553601,-1.254338450,0.000000000,,,,,
1778157002.431599,,,,1778157002.431376457,0.755452149,-0.577738733,-0.805064004,-0.307255452
1778157002.432713,-5.832292687,-1.225915543,0.000000000,,,,,
1778157002.432762,,,,1778157002.432524443,0.754883597,-0.583422366,-0.805364592,-0.308450121
1778157002.433571,-5.837665162,-1.199391299,0.000000000,,,,,
1778157002.433644,,,,1778157002.433316231,0.754305847,-0.589147108,-0.805668229,-0.309626311
1778157002.434654,-5.843072561,-1.172781767,0.000000000,,,,,
1778157002.434685,,,,1778157002.434407234,0.753690960,-0.595183609,-0.805989357,-0.310837916
1778157002.435701,-5.848773687,-1.144825060,0.000000000,,,,,
1778157002.435737,,,,1778157002.435435057,0.753093929,-0.600993816,-0.806299275,-0.311975192
1778157002.436547,-5.854253993,-1.118036228,0.000000000,,,,,
1778157002.436589,,,,1778157002.436340332,0.752498472,-0.606739216,-0.806606526,-0.313072440
1778157002.437558,-5.859668370,-1.091653179,0.000000000,,,,,
1778157002.437589,,,,1778157002.437359810,0.751869505,-0.612753925,-0.806929032,-0.314192977
1778157002.438595,-5.865335725,-1.064130852,0.000000000,,,,,
1778157002.438624,,,,1778157002.438362837,0.751253002,-0.618599384,-0.807243217,-0.315253502
1778157002.439595,-5.870837640,-1.037495208,0.000000000,,,,,
1778157002.439641,,,,1778157002.439385176,0.750628300,-0.624472376,-0.807559625,-0.316291378
1778157002.440625,-5.876362061,-1.010835253,0.000000000,,,,,
1778157002.440770,,,,1778157002.440453053,0.750003463,-0.630297831,-0.807874169,-0.317293456
1778157002.441594,-5.881837634,-0.984492529,0.000000000,,,,,
1778157002.441692,,,,1778157002.441379070,0.749366446,-0.636187339,-0.808192864,-0.318279232
1778157002.442572,-5.887370704,-0.957956304,0.000000000,,,,,
1778157002.442615,,,,1778157002.442389727,0.748723341,-0.642084070,-0.808512610,-0.319238712
1778157002.443610,-5.892907267,-0.931484979,0.000000000,,,,,
1778157002.443654,,,,1778157002.443369389,0.748086513,-0.647876480,-0.808827304,-0.320154311
1778157002.444960,-5.898341496,-0.905579693,0.000000000,,,,,
1778157002.445001,,,,1778157002.444654703,0.747268921,-0.655236324,-0.809228197,-0.321284277
1778157002.445479,-5.905264968,-0.872714458,0.000000000,,,,,
1778157002.445510,,,,1778157002.445337772,0.746781143,-0.659603279,-0.809466265,-0.321929651
1778157002.446726,-5.909344513,-0.853374076,0.000000000,,,,,
1778157002.446781,,,,1778157002.446512699,0.746080198,-0.665824330,-0.809806121,-0.322828039
1778157002.447470,-5.915176511,-0.825826905,0.000000000,,,,,
1778157002.447499,,,,1778157002.447329760,0.745435397,-0.671504278,-0.810116873,-0.323621025
1778157002.448470,-5.920492375,-0.800783832,0.000000000,,,,,
1778157002.448498,,,,1778157002.448292255,0.744755543,-0.677445817,-0.810442451,-0.324424656
1778157002.449476,-5.926053483,-0.774663190,0.000000000,,,,,
1778157002.449505,,,,1778157002.449291945,0.744068495,-0.683403480,-0.810769389,-0.325203451
1778157002.450459,-5.931627202,-0.748558372,0.000000000,,,,,
1778157002.450487,,,,1778157002.450275898,0.743387393,-0.689264853,-0.811091472,-0.325943144
1778157002.451463,-5.937107209,-0.722963108,0.000000000,,,,,
1778157002.451491,,,,1778157002.451284647,0.742683590,-0.695274791,-0.811422154,-0.326674975
1778157002.452417,-5.942725370,-0.696797532,0.000000000,,,,,
1778157002.452438,,,,1778157002.452293873,0.741981782,-0.701222473,-0.811749799,-0.327372354
1778157002.453368,-5.948282186,-0.670988293,0.000000000,,,,,
1778157002.453385,,,,1778157002.453238010,0.741286581,-0.707070901,-0.812072325,-0.328032079
1778157002.454346,-5.953742875,-0.645692394,0.000000000,,,,,
1778157002.454362,,,,1778157002.454202175,0.740598787,-0.712815650,-0.812389443,-0.328655105
1778157002.455400,-5.959103498,-0.620923433,0.000000000,,,,,
1778157002.455424,,,,1778157002.455247402,0.739871828,-0.718842043,-0.812722444,-0.329283040
1778157002.456396,-5.964728061,-0.595006394,0.000000000,,,,,
1778157002.456430,,,,1778157002.456281900,0.739132094,-0.724928595,-0.813059072,-0.329890199
1778157002.457533,-5.970407253,-0.568907586,0.000000000,,,,,
1778157002.457554,,,,1778157002.457234383,0.738422669,-0.730724965,-0.813379882,-0.330442523
1778157002.458278,-5.975810419,-0.544137130,0.000000000,,,,,
1778157002.458297,,,,1778157002.458164930,0.737691476,-0.736656459,-0.813708410,-0.330982625
1778157002.459488,-5.981339132,-0.518855737,0.000000000,,,,,
1778157002.459508,,,,1778157002.459252596,0.736884592,-0.743150758,-0.814068390,-0.331545977
1778157002.460293,-5.987397197,-0.491232965,0.000000000,,,,,
1778157002.460311,,,,1778157002.460193157,0.736184182,-0.748751596,-0.814378960,-0.332005495
1778157002.461411,-5.992610353,-0.467511410,0.000000000,,,,,
1778157002.461431,,,,1778157002.461255312,0.735379338,-0.755138652,-0.814733350,-0.332503779
1778157002.462402,-5.998562898,-0.440500934,0.000000000,,,,,
1778157002.462413,,,,1778157002.462278366,0.734622213,-0.761105843,-0.815064551,-0.332941976
1778157002.463324,-6.004117407,-0.415353263,0.000000000,,,,,
1778157002.463335,,,,1778157002.463190794,0.733895013,-0.766799890,-0.815380672,-0.333335880
1778157002.464293,-6.009413035,-0.391429047,0.000000000,,,,,
1778157002.464308,,,,1778157002.464172125,0.733145600,-0.772628732,-0.815704360,-0.333715547
1778157002.465277,-6.014833872,-0.366994709,0.000000000,,,,,
1778157002.465288,,,,1778157002.465201616,0.732347731,-0.778790911,-0.816046636,-0.334091532
1778157002.466268,-6.020566781,-0.341215875,0.000000000,,,,,
1778157002.466280,,,,1778157002.466172934,0.731561904,-0.784819214,-0.816381499,-0.334433186
1778157002.467302,-6.026171802,-0.316067216,0.000000000,,,,,
1778157002.467314,,,,1778157002.467174530,0.730768298,-0.790866261,-0.816717409,-0.334750348
1778157002.468301,-6.031792694,-0.290902641,0.000000000,,,,,
1778157002.468313,,,,1778157002.468197823,0.729971401,-0.796898041,-0.817052449,-0.335041250
1778157002.469368,-6.037397468,-0.265863793,0.000000000,,,,,
1778157002.469379,,,,1778157002.469260454,0.729099072,-0.803453001,-0.817416526,-0.335329906
1778157002.470361,-6.043492797,-0.238699189,0.000000000,,,,,
1778157002.470372,,,,1778157002.470249176,0.728308834,-0.809353752,-0.817744163,-0.335562967
1778157002.471360,-6.048970779,-0.214330581,0.000000000,,,,,
1778157002.471371,,,,1778157002.471266508,0.727468799,-0.815584065,-0.818090013,-0.335783723
1778157002.472379,-6.054756736,-0.188647559,0.000000000,,,,,
